"Bot","Bloco","Nome do Script","Endpoint","Metodo","Token","Variavel De Resposta","Variavel De Status","Variavel enviada no body","Descrição"
"[DEV] SPD Maquina Safrapay","[MS.2.1.3] [HTTP] API Simular Vendas","HTTP POST ""bodySimulacao""","{{config.urlCHT}}/safrapay/vendas-servicos/vendas/planejamentos-vendas/assistente-virtual/v1/estabelecimentos/{{selectedEc@codigoEc}}/vendas/simular","POST","Bearer {{bodyToken@access_token}}","bodySimulacao","statusSimulacao","{
  ""valorVenda"": ""{{salesValue}}"",
  ""tipoSimulacao"": ""{{salesOrder}}"",
  ""modalidade"": ""{{salesType}}"",
  ""tipoPagamento"": ""{{salesPaymentType}}""
}",""
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","HTTP POST ""bodyProtocoloBpm"" (Cria Protocolo no Front)","{{config.urlCHT}}/chat-assistente/protocolos/v1/protocolos","POST","Bearer {{bodyToken@access_token}}","bodyProtocoloBpm","statusProtocoloBpm","{{payloadProtocolo}}",""
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","HTTP POST ""bodyOcorrencia"" (Cria nova ocorrencia)","{{config.urlCHT}}/chat-assistente/protocolos/v1/protocolos/{{idProtocoloBpm}}/ocorrencias","POST","Bearer {{bodyToken@access_token}}","bodyOcorrencia","statusOcorrencia","{{payloadOcorrencia}}",""
"[DEV] SPD Intencoes","Autenticação","Token","{{config.urlToken}}/api/oauth/token","POST","","bodyToken","statusToken","{{encodingUrl}}",""
"[DEV] SPD Intencoes","Autenticação","MFA","{{config.urlCHT}}/vendas-servicos/multicanal/autorizacoes-transacoes/assistente-virtual/v1/transacoes","POST","Bearer {{bodyToken@access_token}}","bodyVerificaMFA","statusVerificaMFA","{{requestBody}}",""
"[DEV] SPD Intencoes","Resposta KBA","kba/validar","{{config.urlCHT}}/vendas-servicos/multicanal/autorizacoes-transacoes/assistente-virtual/v1/kba/validar","POST","Bearer {{bodyToken@access_token}}","bodyKbaValidar","statusKbaValidar","{{request}}",""
"[DEV] SPD Intencoes","Valida respostas BigID","Process ""bigIdValidationBody""","https://app.bigdatacorp.com.br/bigid/kba/respostas","POST","Bearer {{bodyTokenBigID@token}}","bigIdValidationBody","bigIdStatus","{{validationBody}}",""
"[DEV] SPD Intencoes","Autenticação BigID","Process ""bodyTokenBigID"" using ""POST""","https://accesstoken.bigdatacorp.com.br/Generate","POST","","bodyTokenBigID","statusTokenBigID","{
    ""login"": ""SAFRABIGIDAPI_BANKING"",
    ""password"": ""zvasdp3t"",
    ""expires"": 8750
}",""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","Process ""bodyToken"" using ""POST""","{{config.urlToken}}/api/oauth/token","POST","","bodyToken","statusToken","{{encodingUrl}}",""
"[DEV] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","Process ""bodyContas"" using ""GET""","{{config.urlCHT}}/chat-assistente/contas-pessoa-juridica/v1/shortnames-vinculados?cpf={{contact.extras.cpf}}","GET","Bearer {{bodyToken@access_token}}","bodyContas","statusContas","-",""
"[DEV] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Process ""bodyDadosConta"" using ""GET""","{{config.urlCHT}}/chat-assistente/contas-pessoa-juridica/v1/contas?agencia={{contaSelecionada@agencia}}&conta={{contaSelecionada@conta}}","GET","Bearer {{bodyToken@access_token}}","bodyDadosConta","statusDadosConta","-",""
"[DEV] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Process ""bodyUsuarios"" using ""GET""","{{config.urlCHT}}/vendas-servicos/clientes/dados-referencia-clientes/assistente-virtual/v1/shortnames/{{contaSelecionada@shortname}}/usuarios","GET","Bearer {{bodyToken@access_token}}","bodyUsuarios","statusUsuarios","-",""
"[DEV] OS","[OS.2.0.0] Consultar Ordens de Serviço","Process ""bodyOrdernsDeServicos"" using ""GET""","{{config.urlCHT}}/chat-assistente/vendas-servicos/vendas/tracking-credenciadoras/v1/ordens-servicos?documento={{contaSelecionada@doc}}","GET","Bearer {{bodyToken@access_token}}","bodyOrdensDeServicos","statusOrdensDeServicos","-",""
"[DEV] SPD Taxas e Condicoes","[TC.8.0.0][HTTP] API Pacotes","HTTP GET ""bodyPacote""","{{config.urlCHT}}/chat-assistente/safra-pay/v1/pacotes?agencia={{contaSelecionada@agencia}}&conta={{contaSelecionada@conta}}","GET","Bearer {{bodyToken@access_token}}","bodyPacote","statusPacote","-",""
"[DEV] SPD Solucoes","[S.2.1.4][HTTP] Atualizar Protocolo","HTTP POST ""bodyOcorrencia"" (Cria nova ocorrencia)","{{config.urlCHT}}/chat-assistente/protocolos/v1/protocolos/{{numeroProtocolo}}/ocorrencias","POST","Bearer {{bodyToken@access_token}}","bodySolucoesOcorrencia","statusSolucoesOcorrencia","{{payloadOcorrenciaSolucao}}",""
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","HTTP GET ""bodyConsultaProtocolo"" (Consultar Protocolo)","{{config.urlCHT}}/chat-assistente/protocolos/v1/protocolos/{{idProtocoloBpm}}","GET","Bearer {{bodyToken@access_token}}","bodyConsultaProtocolo","statusConsultaProtocolo","-",""
"[DEV] SPD Intencoes","Autenticação BigID","Process ""bodyQuestion"" using ""POST""","https://bigid.bigdatacorp.com.br/Questions","POST","Bearer {{bodyTokenBigID@token}}","bodyQuestion","statusQuestion","{
    ""Group"": ""WHATS_PJ"",
    ""Parameters"": [
        ""CPF={{cpf}}""
    ]
}",""
"[DEV] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Process ""bodyEC"" using ""GET""","{{config.urlCHT}}/chat-assistente/safra-pay/v1/estabelecimentos?cpfCnpj={{contaSelecionada@doc}}","GET","Bearer {{bodyToken@access_token}}","bodyEC","statusEC","-",""
"[DEV] OS","[OS.2.4.0] Consulta OS pelo número","Process ""bodyOrdernsDeServicos"" using ""GET""","{{config.urlCHT}}/chat-assistente/vendas-servicos/vendas/tracking-credenciadoras/v1/ordens-servicos/{{userInput}}","GET","Bearer {{bodyToken@access_token}}","bodyOrdensDeServicos","statusOrdensDeServicos","-",""
